channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
254,758.0,2985.0,9269.079740622454,1432.712821214829,5799.689132992247,842,SCsg
255,790.0,2985.0,9269.079740622454,1433.607576134887,5831.67662138432,842,SCsg
256,758.0,3000.0,9266.799754038535,1417.8929084193485,5800.103676007506,842,SCsg
257,790.0,3000.0,9266.799754038535,1418.7876633394064,5832.091164399579,842,SCsg
258,758.0,3015.0,9264.519767454614,1403.072995623868,5800.518219022764,842,SCsg
259,790.0,3015.0,9264.519767454614,1403.967750543926,5832.505707414837,842,SCsg
260,758.0,3030.0,9262.239780870694,1388.2530828283877,5800.932762038023,842,SCsg
261,790.0,3030.0,9262.239780870694,1389.1478377484457,5832.920250430096,842,SCsg
262,758.0,3045.0,9259.959794286775,1373.4331700329071,5801.347305053279,842,SCsg
263,790.0,3045.0,9259.959794286775,1374.327924952965,5833.334793445353,842,SCsg
264,758.0,3060.0,9257.679807702854,1358.6132572374268,5801.761848068538,842,SCsg
265,790.0,3060.0,9257.679807702854,1359.5080121574847,5833.749336460612,842,SCsg
266,758.0,3075.0,9255.399821118934,1343.7933444419464,5802.176391083796,842,SCsg
267,790.0,3075.0,9255.399821118934,1344.6880993620043,5834.16387947587,842,SCsg
268,758.0,3090.0,9253.119834535015,1328.9734316464658,5802.590934099055,842,SCsg
269,790.0,3090.0,9253.119834535015,1329.8681865665237,5834.578422491128,842,SCsg
270,758.0,3105.0,9250.839847951094,1314.1535188509854,5803.005477114313,834,SCzo
271,790.0,3105.0,9250.839847951094,1315.0482737710433,5834.992965506386,842,SCsg
272,758.0,3120.0,9248.559861367174,1299.333606055505,5803.420020129572,834,SCzo
273,790.0,3120.0,9248.559861367174,1300.228360975563,5835.407508521645,842,SCsg
274,758.0,3135.0,9246.279874783255,1284.5136932600244,5803.83456314483,834,SCzo
275,790.0,3135.0,9246.279874783255,1285.4084481800824,5835.822051536903,842,SCsg
276,758.0,3150.0,9243.999888199334,1269.693780464544,5804.249106160087,834,SCzo
277,790.0,3150.0,9243.999888199334,1270.588535384602,5836.236594552161,834,SCzo
278,758.0,3165.0,9241.719901615414,1254.8738676690637,5804.663649175345,834,SCzo
279,790.0,3165.0,9241.719901615414,1255.7686225891216,5836.651137567419,834,SCzo
280,758.0,3180.0,9239.439915031493,1240.053954873583,5805.078192190604,0,Void
281,790.0,3180.0,9239.439915031493,1240.948709793641,5837.0656805826775,834,SCzo
282,758.0,3195.0,9237.159928447574,1225.2340420781027,5805.492735205862,0,Void
283,790.0,3195.0,9237.159928447574,1226.1287969981606,5837.480223597935,834,SCzo
284,758.0,3210.0,9234.879941863654,1210.4141292826223,5805.907278221121,0,Void
285,790.0,3210.0,9234.879941863654,1211.3088842026802,5837.8947666131935,0,Void
